#LINK,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,
#attribution_name,松本市　DX推進本部,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,
#file_name,ivento_itiran,,,,,,,,,,,
#download_from,http://linkdata.org/work/rdf1s9164i,,,,,,,,,,,
#property,主なイベント事業名,イベント名（カナ）,カテゴリー,開催時期,開催時期特記事項,場所,所在地,内容,問合先名称,問合先電話番号,URL,備考
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,"	Assertion","	Assertion","	Assertion","	Assertion","	Assertion","	Assertion","	Assertion","	Assertion","	Assertion","	Assertion","	Assertion","	Assertion"
1,寮の落書き展,リョウノラクガキテン,教育・文化,3月5日～5月5日,,旧制高等学校記念館,県3-1-1,企画展,旧制高等学校記念館,0263-35-6226,,
2,工芸の五月参加企画  企画展「丸山太郎秀逸展～旅の鞄」,コウゲイノゴガツサンカキカクキカクテン「マルヤマタロウシュウイツテン～タビノカバン」,教育・文化,3月14日～7月9日,,松本民芸館,里山辺1313-1,企画展,松本民芸館,0263-33-1569,,
3,国宝松本城夜桜会,コクホウマツモトジョウヨザクラカイ,教育・文化,松本城管理課による開花宣言の3日後より8日間実施,,松本城本丸庭園,松本市丸の内４－１,本丸庭園内の桜をライトアップし、夜間無料開放,松本城管理課,0263-32-2902,,
4,企画展「アーツ・アンド・クラフツとデザイン」」,キカクテン「アーツ・アンド・クラフツとデザイン」,芸術,4月15日～６月４日,,松本市美術館,中央４－２－２２,企画展,美術館,0263-34-7900,https://matsumoto-artmuse.jp,
5,第64回松本市芸術文化祭,マツモトシゲイジュツブンカサイ,教育・文化,4月～1月,,あがたの森文化会館、芸術館　他,中央1-18-1,,生涯学習課・中央公民館,0263-32-1132,,
6,第66回松本市市民スポーツ大会春季大会,ダイ66カイマツモトシシミンスポーツタイカイシュンキタイカイ,スポーツ,4月上旬～６月,,松本市総合体育館他,,各種スポーツ大会（約３０種目）,松本市スポーツ協会,0263-32-7056,matsumoto-sports.or.jp,
7,工芸の五月,コウゲイノゴガツ,芸術,4月29日～5月31日,,あがたの森公園他,松本市,市内各地で工芸に関するイベントを開催,工芸の五月実行委員会,0263-34-3110,,
8,工芸の五月参加企画「中町と民芸」,コウゲイノゴガツサンカキカク「ナカマチトミンゲイ」,芸術,4月29日～5月31日,,はかり資料館,中央3-4-21,企画展,はかり資料館,0263-36-1191,,
9,開智学校開校150周年記念展,カイチガッコウカイコウ150シュウネンキネンテン,教育・文化,4月29日～7月17日,,旧司祭館・旧開智庭園,開智2-6-24,企画展,国宝旧開智学校校舎,0263-32-5725,,
10,第50回松本子どもまつり,マツモトコドモマツリ,こども,41032,,アルプス公園,蟻ケ崎２４５５－11,,こども育成課,0263-34-3291,,コロナウイルス感染症の影響により変更となる可能性があります。
11,第59回あがた美術会作品展,ダイ59カイアガタビジュツカイサクヒンテン,芸術,5月20日～6月18日,,旧制高等学校記念館,県3-1-1,企画展,旧制高等学校記念館,0263-35-6226,,
12,国宝松本城松本藩古流砲術演武,コクホウマツモトジョウマツモトハンコリュウホウジュツエンブ,教育・文化,45067,雨天中止,松本城二の丸御殿跡,松本市丸の内４－１,松本城鉄砲隊による火縄銃の実演,松本城管理課,0263-32-2902,,
13,クラフトフェアまつもと,クラフトフェアマツモト,芸術,5月27日・28日,,あがたの森,松本市,約210組のクラフト作家が出展し、作家との交流や作品との出会いを楽しむ,NPO法人松本クラフト推進協会,0263-34-6557,,
14,第23回松本手まり時計まつり,マツモトテマリドケイマツリ,教育・文化,5月28日～29日,,Ｍウイング,中央1-18-1,,生涯学習課・中央公民館,0263-32-1132,,
15,信州大学人文学部連携事業  「旧司祭館が伝えたもの－建物とフランス文化」,シンシュウダイガクジンブンガクブレンケイジギョウ「キュウシサイカンガツタエタモノ-タテモノトフランスブンカ」,教育・文化,5月～3月,,旧司祭館,開智2-6-24,企画展,国宝旧開智学校校舎,0263-32-5725,,
16,ツール・ド・美ケ原高原自転車レース大会2023,ツールドウツクシガハラコウゲンジテンシャレースタイカイ,スポーツ,45102,,美ケ原高原,,2000m級の美ヶ原高原までの坂道を駆け上がるヒルクライム自転車レース大会,ﾂｰﾙ･ﾄﾞ･美ヶ原高原自転車ﾚｰｽ大会実行委員会(浅間温泉観光協会),0263-46-1800,,
17,企画展「映画監督・山崎貴の世界」,キカクテン「エイガカントク・ヤマザキタカシノセカイ」,芸術,7月15日～10月29日,,松本市美術館,中央４－２－２２,企画展,美術館,0263-34-7900,https://yamazakitakashi-exhibition.com,
18,武家住宅の七夕祭り,ブケジュウタクノタナバタマツリ,教育・文化,7月15日～8月6日,,高橋家住宅,開智2-9-10,企画展,国宝旧開智学校校舎,0263-32-5725,,
